"NAME","GM","W.L","PTS","PPG","OPP.PTS","OPP.PPG","PTS","PPG","OPP.PTS","OPP.PPG","SCR.MAR","FGM","FGA","FG.","OPP.FG","OPP.FGA","OPP.FG.","X3FG","X3PG","X3FG","X3FGA","X3FG.","FT","FTA","FT.","REB","RPG","OPP.REB","OPP.RPG","REB.MAR","AST","APG","BLKS","BKPG","ST","STPG","TO","TOPG","yr","win","loss"
"Mississippi St.","33","21-12","2334","70.7",NA,NA,"2334","70.7","1993","60.4","10.3",NA,NA,NA,NA,NA,NA,"235","7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"488","14.8",NA,NA,NA,NA,"518","15.7",2010,"21","12"
"Princeton","29","26-3","2051","70.7","1520","52.4","2051","70.7","1520","52.4","18.3","784","1784","43.9","424","116","27.4",NA,NA,"158","445","35.5",NA,NA,NA,"1187","40.9","1027","35.4","5.5",NA,NA,"133","4.6",NA,NA,"415","14.3",2010,"26","3"
"Boise St.","31","19-12","2181","70.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"19","12"
"St. John's (NY)","32","25-7","2247","70.2","1846","57.7","2247","70.2","1846","57.7","12.5",NA,NA,NA,"421","115","27.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"481","15.0",2010,"25","7"
"Illinois St.","33","26-7","2316","70.2",NA,NA,"2316","70.2","2004","60.7","9.5","831","1859","44.7",NA,NA,NA,NA,NA,"189","533","35.5","465","574","81.0","1293","39.2","1100","33.3","5.8",NA,NA,NA,NA,NA,NA,"507","15.4",2010,"26","7"
"Maryland","33","21-12","2316","70.2",NA,NA,NA,NA,NA,NA,NA,"854","1956","43.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1453","44.0","1140","34.5","9.5",NA,NA,NA,NA,NA,NA,NA,NA,2010,"21","12"
"Oral Roberts","33","23-10","2807","85.1",NA,NA,"2807","85.1","2410","73.0","12.0","971","2258","43.0",NA,NA,NA,"304","9.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"529","16.0",NA,NA,"519","15.7",NA,NA,2011,"23","10"
"Connecticut","35","35-0","2875","82.1","1618","46.2","2875","82.1","1618","46.2","35.9","1101","2111","52.2","610","146","23.9",NA,NA,NA,NA,NA,"468","639","73.2","1536","43.9","1076","30.7","13.1","698","19.9","199","5.7",NA,NA,"521","14.9",2011,"35","0"
"Oregon","33","18-15","2710","82.1",NA,NA,NA,NA,NA,NA,NA,"990","2286","43.3",NA,NA,NA,"276","8.4","276","767","36.0",NA,NA,NA,NA,NA,NA,NA,NA,"501","15.2",NA,NA,NA,NA,NA,NA,2011,"18","15"
"Middle Tenn.","31","25-6","2506","80.8",NA,NA,"2506","80.8","1990","64.2","16.6","911","1981","46.0",NA,NA,NA,"313","10.1","313","847","37.0","371","501","74.1",NA,NA,NA,NA,NA,"552","17.8",NA,NA,"380","12.3",NA,NA,2011,"25","6"
"Gonzaga","33","29-4","2663","80.7",NA,NA,"2663","80.7","1934","58.6","22.1","1050","2201","47.7",NA,NA,NA,NA,NA,NA,NA,NA,"400","543","73.7","1369","41.5","1218","36.9","4.6","638","19.3","156","4.7","367","11.1",NA,NA,2011,"29","4"
